uid,section,name,first_url,phase_hint,status
178,Отчетность,Отчет по посещениям сотрудников (T-13),https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/timesheet_with_transfer,phase-1-attendance,todo
179,Отчетность,Отчет по посещениям сотрудников (T-13) / Создать шаблон :: Создать шаблон,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/timesheet_with_transfer,phase-1-attendance,optional
180,Отчетность,Детальный отчет по отметкам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/mark_details,phase-1-attendance,todo
181,Отчетность,Отчет по пройденному расстоянию,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/user_travel_distance,phase-3-reporting,todo
182,Отчетность,Почасовой отчет по посещениям,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/hourly_timesheet,phase-1-attendance,todo
183,Отчетность,Отчет посещений сотрудников по сменам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/shift_report,phase-1-attendance,todo
184,Отчетность,Отчет по сменам (второй вариант),https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/custom_shift_report,phase-3-reporting,todo
185,Отчетность,Отчет посещений по многосменным графикам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/multishift_report,phase-1-attendance,todo
186,Отчетность,Отчет по видам времени,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/time_type_report,phase-3-reporting,todo
187,Отчетность,Отчет по опозданиям,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/lateness_report,phase-3-reporting,todo
188,Отчетность,Отчет по опозданиям / Создать шаблон :: Создать шаблон,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/lateness_report,phase-3-reporting,optional
189,Отчетность,Отчет по расписании,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/time_table_report,phase-3-reporting,todo
190,Отчетность,Книга начисления заработной платы,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/payroll_book,phase-2-payroll,todo
191,Отчетность,Итоговый отчет по начислениям с группировками,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/book_report_by_groups,phase-2-payroll,todo
192,Отчетность,Отчет по оплатам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/payment,phase-3-reporting,todo
193,Отчетность,Расходы по подразделениям,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/expenses_by_division,phase-3-reporting,todo
194,Отчетность,ПРОСМОТР,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/expenses_by_division,phase-3-reporting,todo
195,Отчетность,ФОТ отчет,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/expenses_by_location,phase-3-reporting,todo
196,Отчетность,ФОТ отчет / Создать шаблон :: Создать шаблон,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/expenses_by_location,phase-3-reporting,optional
197,Отчетность,Отчет по разовым начислениям,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/one_time_accruals_report,phase-2-payroll,todo
198,Отчетность,Отчет по предварительному окладу,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/employee_salary,phase-3-reporting,todo
199,Отчетность,Отчет по штрафам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/fines_report,phase-3-reporting,todo
201,Настройки,Главное,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/fines_report,phase-4-settings,todo
202,Настройки,Справочники,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/fines_report,phase-4-settings,todo
203,Настройки,Дополнительные справочники,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/fines_report,phase-4-settings,todo
204,Настройки,Организация,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/fines_report,phase-4-settings,todo
